Date,Open,High,Low,Close,Adj Close,Volume
2006-12-04,140.25,141.55,140.23,141.29,107.17,87813200
2006-12-05,141.56,141.96,141.26,141.9,107.64,73374400
2006-12-06,141.87,142.07,141.5,141.78,107.55,53253200
2006-12-07,142.03,142.3,141.11,141.16,107.08,62857400
2006-12-08,141.13,141.9,140.78,141.42,107.27,79625500
2006-12-11,141.42,142.09,141.34,141.83,107.58,39779400
2006-12-12,141.69,141.87,140.89,141.72,107.5,77451600
2006-12-13,142.23,142.34,141.56,141.87,107.61,55520200
2006-12-14,141.86,143.24,141.84,143.12,108.56,64755200
2006-12-15,142.64,142.89,142.24,142.34,108.57,70857400
2006-12-18,142.54,142.88,141.75,141.95,108.27,48954600
2006-12-19,141.55,142.56,141.19,142.22,108.48,65023600
2006-12-20,142.28,142.66,142.01,142.14,108.42,41469600
2006-12-21,142.27,142.43,141.32,141.62,108.02,48698400
2006-12-22,141.64,141.65,140.67,140.75,107.36,62069100
2006-12-26,140.81,141.61,140.78,141.58,107.99,32696900
2006-12-27,141.87,142.6,141.83,142.51,108.7,39727100
2006-12-28,142.41,142.7,141.99,142.21,108.47,37288800
2006-12-29,142.06,142.54,141.43,141.62,108.02,45461200
2007-01-03,142.25,142.86,140.57,141.37,107.83,94807600
2007-01-04,141.23,142.05,140.61,141.67,108.06,69620600
2007-01-05,141.33,141.4,140.38,140.54,107.2,76645300
2007-01-08,140.82,141.41,140.25,141.19,107.7,71655000
2007-01-09,141.31,141.6,140.4,141.07,107.6,75680100
2007-01-10,140.58,141.57,140.3,141.54,107.96,72428000
2007-01-11,141.58,142.62,141.5,142.16,108.44,54476800
2007-01-12,142.15,143.24,142.11,143.24,109.26,55370600
2007-01-16,143.07,143.44,142.73,142.96,109.05,44871300
2007-01-17,142.85,143.46,142.73,143.02,109.09,50241400
2007-01-18,143.17,143.26,142.31,142.54,108.73,68177300
2007-01-19,142.54,143.1,142.46,142.82,108.94,56973000
2007-01-22,143.07,143.1,141.93,142.38,108.6,60253600
2007-01-23,142.26,143.08,142.06,142.8,108.92,54064400
2007-01-24,142.97,143.98,142.91,143.95,109.8,55834700
2007-01-25,143.86,143.92,142.01,142.26,108.51,73583800
2007-01-26,142.57,142.65,141.58,142.13,108.41,67255600
2007-01-29,142.19,142.8,141.74,142.05,108.35,66114600
2007-01-30,142.35,142.86,142.06,142.79,108.92,70407600
2007-01-31,142.63,144.13,142.4,143.75,109.65,91868600
2007-02-01,144.15,144.66,143.91,144.61,110.3,69312400
2007-02-02,144.73,144.95,144.38,144.81,110.46,49607000
2007-02-05,144.7,144.94,144.34,144.85,110.49,45705300
2007-02-06,144.97,145.03,144.33,144.89,110.52,57081300
2007-02-07,145.12,145.36,144.57,145.21,110.76,55669700
2007-02-08,144.78,145.12,144.27,145.02,110.62,70641000
2007-02-09,145.06,145.33,143.39,143.94,109.79,79084400
2007-02-12,143.94,144.04,143.19,143.45,109.42,65657000
2007-02-13,143.77,144.9,143.76,144.66,110.34,64081800
2007-02-14,144.8,145.9,144.78,145.61,111.07,66039400
2007-02-15,145.67,145.95,145.43,145.8,111.21,38715200
2007-02-16,145.44,145.76,145.23,145.73,111.16,39841800
2007-02-20,145.56,146.2,145.0,146.04,111.39,56911800
2007-02-21,145.61,146.07,145.35,145.98,111.35,63971600
